Kennys-MacBook-Pro:testing KennyHakaj$ awk -F "\"*,\"*" 'OFS="," {print $1,$2,$4| "sort -t, -k 3n"}' vsales.csv
Rank,Name,Year
90,Pac-Man,1982
10,Duck Hunt,1984
2,Super Mario Bros.,1985
23,Super Mario Bros. 3,1988
97,Super Mario Bros. 2,1988
22,Super Mario Land,1989
6,Tetris,1989
19,Super Mario World,1990
51,Super Mario Land 2: 6 Golden Coins,1992
77,Super Mario Kart,1992
58,Super Mario All-Stars,1993
72,Donkey Kong Country,1994
47,Super Mario 64,1996
5,Pokemon Red/Pokemon Blue,1996
64,Mario Kart 64,1996
53,Gran Turismo,1997
67,Final Fantasy VII,1997
85,GoldenEye 007,1997
96,Crash Bandicoot 2: Cortex Strikes Back,1997
31,Pokémon Yellow: Special Pikachu Edition,1998
95,The Legend of Zelda: Ocarina of Time,1998
13,Pokemon Gold/Pokemon Silver,1999
70,Gran Turismo 2,1999
88,Final Fantasy VIII,1999
29,Gran Turismo 3: A-Spec,2001
39,Grand Theft Auto III,2001
87,Final Fantasy X,2001
25,Grand Theft Auto: Vice City,2002
26,Pokemon Ruby/Pokemon Sapphire,2002
18,Grand Theft Auto: San Andreas,2004
48,Gran Turismo 4,2004
59,Pokemon FireRed/Pokemon LeafGreen,2004
60,Super Mario 64,2004
80,Halo 2,2004
11,Nintendogs,2005
12,Mario Kart DS,2005
20,Brain Age: Train Your Brain in Minutes a Day,2005
28,Brain Age 2: More Training in Minutes a Day,2005
42,Animal Crossing: Wild World,2005
91,Grand Theft Auto: Liberty City Stories,2005
1,Wii Sports,2006
21,Pokemon Diamond/Pokemon Pearl,2006
7,New Super Mario Bros.,2006
8,Wii Play,2006
14,Wii Fit,2007
44,Halo 3,2007
49,Super Mario Galaxy,2007
71,Call of Duty 4: Modern Warfare,2007
75,Mario Party DS,2007
81,Mario Party 8,2007
86,Mario & Sonic at the Olympic Games,2007
3,Mario Kart Wii,2008
40,Super Smash Bros. Brawl,2008
52,Grand Theft Auto IV,2008
57,Grand Theft Auto IV,2008
89,Pokémon Platinum Version,2008
99,Call of Duty: World at War,2008
15,Wii Fit Plus,2009
37,Call of Duty: Modern Warfare 2,2009
4,Wii Sports Resort,2009
46,Pokemon HeartGold/Pokemon SoulSilver,2009
56,Call of Duty: Modern Warfare 2,2009
84,The Sims 3,2009
9,New Super Mario Bros. Wii,2009
16,Kinect Adventures!,2010
27,Pokemon Black/Pokemon White,2010
32,Call of Duty: Black Ops,2010
41,Call of Duty: Black Ops,2010
55,Gran Turismo 5,2010
63,Halo: Reach,2010
69,Just Dance 2,2010
79,Wii Party,2010
92,Super Mario Galaxy 2,2010
100,Battlefield 3,2011
30,Call of Duty: Modern Warfare 3,2011
38,Call of Duty: Modern Warfare 3,2011
43,Mario Kart 7,2011
54,Super Mario 3D Land,2011
61,Just Dance 3,2011
76,The Elder Scrolls V: Skyrim,2011
35,Call of Duty: Black Ops II,2012
36,Call of Duty: Black Ops II,2012
65,New Super Mario Bros. 2,2012
66,Halo 4,2012
74,Animal Crossing: New Leaf,2012
82,Pokemon Black 2/Pokemon White 2,2012
83,FIFA Soccer 13,2012
17,Grand Theft Auto V,2013
24,Grand Theft Auto V,2013
33,Pokemon X/Pokemon Y,2013
62,Call of Duty: Ghosts,2013
68,Call of Duty: Ghosts,2013
73,Minecraft,2013
45,Grand Theft Auto V,2014
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014
94,Call of Duty: Advanced Warfare,2014
98,Super Smash Bros. for Wii U and 3DS,2014
34,Call of Duty: Black Ops 3,2015
78,FIFA 16,2015
93,Star Wars Battlefront (2015),2015
